job_name,task_name,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type
pai-pod-001117,tensorflow,Terminated,1100405.0,1100616.0,600.0,29.296875,100.0,MISC
pai-pod-001118,tensorflow,Terminated,1100408.0,1100625.0,600.0,29.296875,100.0,MISC
pai-pod-001119,tensorflow,Terminated,1100408.0,1100636.0,600.0,29.296875,100.0,MISC
pai-pod-001120,tensorflow,Terminated,1100409.0,1100616.0,600.0,29.296875,100.0,MISC
pai-pod-001121,tensorflow,Terminated,1100409.0,1100586.0,600.0,29.296875,100.0,MISC
pai-pod-001122,tensorflow,Terminated,1100411.0,1100585.0,600.0,29.296875,100.0,MISC
pai-pod-001123,tensorflow,Terminated,1100411.0,1100646.0,600.0,29.296875,100.0,MISC
pai-pod-001124,tensorflow,Terminated,1100411.0,1100585.0,600.0,29.296875,100.0,MISC
pai-pod-001125,tensorflow,Terminated,1100413.0,1100596.0,600.0,29.296875,100.0,MISC
pai-pod-001126,tensorflow,Terminated,1100413.0,1100661.0,600.0,29.296875,100.0,MISC
pai-pod-001127,tensorflow,Terminated,1100414.0,1100606.0,600.0,29.296875,100.0,MISC
pai-pod-001128,tensorflow,Terminated,1100414.0,1122226.0,600.0,29.296875,100.0,MISC
pai-pod-001129,tensorflow,Terminated,1100418.0,1100596.0,600.0,29.296875,100.0,MISC
pai-pod-001130,tensorflow,Terminated,1100419.0,1103073.0,600.0,29.296875,10.0,MISC
pai-pod-001131,tensorflow,Terminated,1100420.0,1104547.0,600.0,29.296875,10.0,MISC
pai-pod-001132,tensorflow,Terminated,1100421.0,1100596.0,600.0,29.296875,100.0,MISC
pai-pod-001133,tensorflow,Terminated,1100421.0,1103020.0,600.0,29.296875,10.0,MISC
pai-pod-001134,tensorflow,Terminated,1100423.0,1103912.0,600.0,29.296875,10.0,MISC
pai-pod-001135,tensorflow,Terminated,1100439.0,1106206.0,600.0,29.296875,10.0,MISC
pai-pod-001136,tensorflow,Terminated,1100468.0,1107452.0,600.0,29.296875,10.0,MISC
pai-pod-001137,tensorflow,Terminated,1100491.0,1104404.0,600.0,29.296875,10.0,MISC
pai-pod-001138,tensorflow,Terminated,1100492.0,1101230.0,600.0,29.296875,25.0,MISC
pai-pod-001139,tensorflow,Terminated,1100554.0,1104540.0,600.0,29.296875,10.0,MISC
pai-pod-001140,tensorflow,Terminated,1100590.0,1110844.0,600.0,29.296875,10.0,MISC
pai-pod-001141,tensorflow,Terminated,1100609.0,1103324.0,600.0,29.296875,10.0,MISC
pai-pod-001142,xComputeWorker,Terminated,1100613.0,1100996.0,1000.0,19.55078125,50.0,T4
pai-pod-001143,tensorflow,Terminated,1100653.0,1111064.0,600.0,29.296875,10.0,MISC
pai-pod-001144,tensorflow,Terminated,1100669.0,1111035.0,600.0,29.296875,10.0,MISC
pai-pod-001145,xComputeWorker,Terminated,1100676.0,1100688.0,200.0,0.99609375,,
pai-pod-001146,tensorflow,Terminated,1100694.0,1106058.0,600.0,29.296875,10.0,MISC
pai-pod-001147,PyTorchWorker,Terminated,1100703.0,1101126.0,1800.0,58.59375,100.0,MISC
pai-pod-001148,PyTorchWorker,Terminated,1100703.0,1100836.0,1800.0,58.59375,100.0,MISC
pai-pod-001149,PyTorchWorker,Terminated,1100705.0,1102945.0,1800.0,58.59375,100.0,MISC
pai-pod-001150,PyTorchWorker,Terminated,1100705.0,1101502.0,1800.0,58.59375,100.0,MISC
pai-pod-001151,PyTorchWorker,Terminated,1100706.0,1101241.0,1800.0,58.59375,100.0,MISC
pai-pod-001152,PyTorchWorker,Terminated,1100706.0,1100932.0,1800.0,58.59375,100.0,MISC
pai-pod-001153,xComputeWorker,Terminated,1100715.0,1100727.0,200.0,0.99609375,,
pai-pod-001154,tensorflow,Terminated,1100719.0,1109415.0,600.0,29.296875,10.0,MISC
pai-pod-001155,tensorflow,Terminated,1100738.0,1105844.0,600.0,29.296875,10.0,MISC
pai-pod-001156,tensorflow,Terminated,1100749.0,1108120.0,600.0,29.296875,10.0,MISC
pai-pod-001157,xComputeWorker,Terminated,1100757.0,1100766.0,200.0,0.99609375,,
pai-pod-001158,tensorflow,Terminated,1100771.0,1104247.0,600.0,29.296875,10.0,MISC
pai-pod-001159,tensorflow,Terminated,1100793.0,1106391.0,600.0,29.296875,10.0,MISC
pai-pod-001160,xComputeWorker,Terminated,1100801.0,1100815.0,200.0,0.99609375,,
